Order_ID,Order_Date,Customer_Region,City,Product_Category,Product_Sub_Category,Order_Channel,Order_Value,Quantity,Payment_Mode,Warehouse_Location,Dispatch_Date,Delivery_Date,Delivery_Status,Delay_Days,Inventory_Availability,Return_Flag,Return_Reason
ORD100000,12-04-2024,North India,Brisbane,Home & Kitchen,Budget,Web,11967,2,COD,WH-Melbourne,14-04-2024,17-04-2024,On-time,0,Yes,No,NA
ORD100001,14-12-2024,NSW,Delhi,Grocery,Standard,Web,29326,3,UPI,WH-Delhi,15-12-2024,20-12-2024,Delayed,5,No,No,NA
ORD100002,27-09-2024,QLD,Melbourne,Fashion,Premium,Web,12286,3,Wallet,WH-Melbourne,28-09-2024,30-09-2024,On-time,0,Yes,No,NA
ORD100003,16-04-2024,VIC,Brisbane,Fashion,Budget,App,27933,3,UPI,WH-Melbourne,17-04-2024,19-04-2024,On-time,0,Yes,No,NA
ORD100004,12-03-2024,West India,Sydney,Beauty,Budget,App,18369,2,Wallet,WH-Mumbai,13-03-2024,17-03-2024,On-time,0,No,No,NA
ORD100005,07-07-2024,NSW,Delhi,Grocery,Premium,Web,16508,2,UPI,WH-Bangalore,08-07-2024,11-07-2024,Cancelled,0,Yes,No,NA
ORD100006,21-01-2024,North India,Chennai,Electronics,Standard,App,13550,3,Card,WH-Sydney,23-01-2024,29-01-2024,Delayed,3,Yes,No,NA
ORD100007,12-04-2024,East India,Delhi,Beauty,Premium,Web,14548,3,Card,WH-Mumbai,13-04-2024,16-04-2024,On-time,0,Yes,No,NA
ORD100008,01-05-2024,VIC,Chennai,Sports,Standard,Web,29228,3,Card,WH-Sydney,01-05-2024,04-05-2024,On-time,0,Yes,No,NA
ORD100009,02-08-2024,NSW,Bangalore,Fashion,Premium,Web,41798,1,UPI,WH-Bangalore,04-08-2024,06-08-2024,On-time,0,Yes,No,NA
ORD100010,26-11-2024,West India,Mumbai,Sports,Budget,App,8466,4,Wallet,WH-Melbourne,28-11-2024,29-11-2024,Delayed,5,Yes,No,NA
ORD100011,28-03-2024,East India,Delhi,Grocery,Budget,Web,8965,1,UPI,WH-Mumbai,29-03-2024,01-04-2024,Delayed,1,Yes,No,NA
ORD100012,09-04-2024,QLD,Kolkata,Home & Kitchen,Standard,Web,40319,1,Wallet,WH-Delhi,10-04-2024,13-04-2024,Delayed,5,Yes,No,NA
ORD100013,25-12-2024,West India,Sydney,Sports,Premium,Web,24731,2,Card,WH-Melbourne,27-12-2024,01-01-2025,Delayed,5,Yes,No,NA
ORD100014,31-05-2024,East India,Kolkata,Electronics,Standard,Web,20845,3,UPI,WH-Delhi,31-05-2024,04-06-2024,On-time,0,No,No,NA
ORD100015,10-05-2024,QLD,Brisbane,Fashion,Budget,App,5028,1,Wallet,WH-Melbourne,12-05-2024,19-05-2024,On-time,0,Yes,No,NA
ORD100016,29-05-2024,QLD,Brisbane,Grocery,Budget,App,8564,3,Wallet,WH-Melbourne,30-05-2024,04-06-2024,On-time,0,Yes,No,NA
ORD100017,04-11-2024,VIC,Mumbai,Home & Kitchen,Standard,App,43898,2,COD,WH-Bangalore,05-11-2024,06-11-2024,Delayed,2,Yes,No,NA
ORD100018,14-09-2024,West India,Mumbai,Fashion,Standard,App,43381,1,Wallet,WH-Mumbai,14-09-2024,19-09-2024,Delayed,1,Yes,No,NA
ORD100019,09-12-2024,NSW,Brisbane,Home & Kitchen,Standard,App,34551,3,Card,WH-Sydney,09-12-2024,15-12-2024,Cancelled,0,Yes,No,NA
ORD100020,20-10-2024,NSW,Delhi,Fashion,Standard,App,4591,2,UPI,WH-Bangalore,20-10-2024,27-10-2024,On-time,0,Yes,No,NA
ORD100021,10-07-2024,North India,Hyderabad,Beauty,Standard,App,32928,2,COD,WH-Sydney,11-07-2024,18-07-2024,On-time,0,Yes,No,NA
ORD100022,03-10-2024,East India,Delhi,Beauty,Premium,Web,2721,1,Card,WH-Melbourne,03-10-2024,10-10-2024,Delayed,4,Yes,No,NA
ORD100023,09-06-2024,North India,Sydney,Beauty,Standard,Web,10439,2,UPI,WH-Delhi,09-06-2024,14-06-2024,On-time,0,No,Yes,Late Delivery
ORD100024,09-11-2024,South India,Brisbane,Grocery,Standard,App,44726,4,UPI,WH-Sydney,10-11-2024,16-11-2024,On-time,0,Yes,No,NA
ORD100025,22-01-2024,NSW,Kolkata,Beauty,Budget,Web,30972,2,COD,WH-Delhi,24-01-2024,27-01-2024,Cancelled,0,Yes,Yes,Damaged
ORD100026,09-09-2024,East India,Mumbai,Grocery,Budget,App,40389,1,Card,WH-Sydney,09-09-2024,12-09-2024,On-time,0,Yes,No,NA
ORD100027,23-08-2024,VIC,Kolkata,Electronics,Premium,App,6915,3,UPI,WH-Delhi,23-08-2024,30-08-2024,On-time,0,Yes,No,NA
ORD100028,10-12-2024,North India,Brisbane,Beauty,Standard,Web,28454,4,COD,WH-Bangalore,11-12-2024,15-12-2024,Cancelled,0,Yes,No,NA
ORD100029,18-02-2024,VIC,Bangalore,Grocery,Standard,Web,13095,2,UPI,WH-Sydney,19-02-2024,25-02-2024,On-time,0,Yes,No,NA
ORD100030,28-02-2024,VIC,Brisbane,Fashion,Budget,Web,35910,3,UPI,WH-Bangalore,28-02-2024,03-03-2024,On-time,0,No,Yes,Damaged
ORD100031,18-06-2024,VIC,Melbourne,Grocery,Budget,Web,24953,3,Card,WH-Bangalore,19-06-2024,24-06-2024,On-time,0,Yes,No,NA
ORD100032,06-07-2024,North India,Sydney,Sports,Budget,App,33823,3,Card,WH-Delhi,06-07-2024,08-07-2024,Delayed,1,Yes,No,NA
ORD100033,27-09-2024,South India,Melbourne,Grocery,Standard,Web,35522,1,UPI,WH-Sydney,28-09-2024,30-09-2024,On-time,0,Yes,No,NA
ORD100034,08-07-2024,QLD,Kolkata,Sports,Standard,App,1640,2,Wallet,WH-Sydney,10-07-2024,14-07-2024,On-time,0,Yes,No,NA
ORD100035,23-06-2024,QLD,Bangalore,Fashion,Premium,App,47481,4,UPI,WH-Mumbai,24-06-2024,25-06-2024,On-time,0,Yes,No,NA
ORD100036,20-02-2024,North India,Sydney,Grocery,Budget,Web,45264,1,Wallet,WH-Delhi,22-02-2024,26-02-2024,On-time,0,Yes,No,NA
ORD100037,29-12-2024,QLD,Chennai,Fashion,Budget,Web,14753,3,Card,WH-Sydney,30-12-2024,05-01-2025,On-time,0,Yes,Yes,Late Delivery
ORD100038,24-02-2024,West India,Hyderabad,Sports,Budget,Web,6245,2,UPI,WH-Melbourne,25-02-2024,01-03-2024,On-time,0,Yes,No,NA
ORD100039,31-08-2024,QLD,Melbourne,Home & Kitchen,Budget,App,48928,3,UPI,WH-Mumbai,01-09-2024,07-09-2024,On-time,0,Yes,No,NA
ORD100040,15-11-2024,NSW,Sydney,Beauty,Budget,App,8092,4,UPI,WH-Sydney,17-11-2024,19-11-2024,On-time,0,Yes,Yes,Late Delivery
ORD100041,10-05-2024,North India,Sydney,Sports,Standard,Web,23015,3,COD,WH-Delhi,12-05-2024,18-05-2024,On-time,0,Yes,No,NA
